,tags,coordinates,time,fav_count,review,country_code,lon,lat
0,"['Disneyland', 'blondie', 'blondeshavemorefun']","[-117.91962946, 33.81072033]",Sat Nov 10 21:51:37 +0000 2018,0,"Just me &amp; my Diet Coke. And Minnie ears. And other stuff...
...
#Disneyland #blondie #blondeshavemorefun… https://t.co/8tok40LhVC",US,-117.91962946,33.81072033
1,"['tapiocasabordaterra', 'rosanalamenha', 'diet', 'tapioca', 'glutenfree']","[-81.4532087, 28.4618669]",Sat Nov 10 21:51:49 +0000 2018,0,"Nossa delícia de Queijo com Bacon 😍 Yuumm...
#tapiocasabordaterra #rosanalamenha #diet #tapioca #glutenfree… https://t.co/P3RoZ0epwP",US,-81.4532087,28.4618669
2,"['ONICON', 'popsoap', 'popsoapshop', 'vegan', 'vegansoap']","[-94.82201795, 29.26975655]",Sat Nov 10 21:51:53 +0000 2018,0,THIS WEEKEND! We’ll be at #ONICON STOP BY BOOTH 87 &amp; Get Dirty! With US! #popsoap #popsoapshop #vegan #vegansoap… https://t.co/AzlMHUGqhs,US,-94.82201795,29.26975655
3,"['teamspg', 'powerteam', 'germansinla']","[-118.243, 34.0522]",Sat Nov 10 21:52:13 +0000 2018,0,"Teamwork💪🏼 You are only as good as your team ‼️@IDSTweets @nikacristiani #teamspg #powerteam 
#germansinla… https://t.co/UqQ59mvWZc",US,-118.243,34.0522
4,"['beyondburger', 'vegan']","[-122.026252, 36.97205]",Sat Nov 10 21:52:57 +0000 2018,0,"“You’re vegan, but where do you get your protein?” #beyondburger #vegan @ Santa Cruz, California https://t.co/8MDq0J8TFM",US,-122.026252,36.97205
5,"['teamspg', 'powerteam', 'germansinla']","[-118.243, 34.0522]",Sat Nov 10 21:57:07 +0000 2018,0,"Teamwork💪🏼 You are only as good as your team ‼️@IDSTweets @nikacristiani #teamspg #powerteam 
#germansinla… https://t.co/KRnazuKUa1",US,-118.243,34.0522
6,['cheetoprincessgoogoo'],"[-111.41222222, 40.50666667]",Sat Nov 10 21:58:28 +0000 2018,0,"When you know you’ve let yourself go but no way you’re gonna diet &amp; exercise.
.
#cheetoprincessgoogoo… https://t.co/Mg9r7bE2j7",US,-111.41222222,40.50666667
7,['cheetoprincessgoogoo'],"[-111.41222222, 40.50666667]",Sat Nov 10 21:58:31 +0000 2018,0,"When you know you’ve let yourself go but no way you’re gonna diet &amp; exercise.
.
#cheetoprincessgoogoo… https://t.co/b4KbJBKalo",US,-111.41222222,40.50666667
8,"['ONICON', 'popsoap', 'popsoapshop', 'vegan', 'vegansoap']","[-94.82201795, 29.26975655]",Sat Nov 10 22:12:04 +0000 2018,0,THIS WEEKEND! We’ll be at #ONICON STOP BY BOOTH 87 &amp; Get Dirty! With US! #popsoap #popsoapshop #vegan #vegansoap… https://t.co/7UJNU9fixe,US,-94.82201795,29.26975655
9,[],"[-80.16886, 26.02827]",Sat Nov 10 22:14:47 +0000 2018,0,"from miamiveganfinds  -  Vegan Jambalaya from bigummsneworleans at the @ygfarmersmarket 
SO much flavor!!😋… https://t.co/tol76YCUFX",US,-80.16886,26.02827
10,[],"[-80.16886, 26.02827]",Sat Nov 10 22:16:40 +0000 2018,0,from miamifoodbabe  -  True Story: My moms obsessed with this GORGEOUS sprouted bread from https://t.co/UHzLQWDqx5… https://t.co/eu3doqtiXA,US,-80.16886,26.02827
11,[],"[-83.029049, 42.553989]",Sat Nov 10 22:21:05 +0000 2018,0,Stuffed portabellas to celebrate good news at the pt yesterday. If it's one thing these 4 months off of running has… https://t.co/HgU4Upp3Kw,US,-83.029049,42.553989
12,[],"[-80.16886, 26.02827]",Sat Nov 10 22:23:36 +0000 2018,0,"from vegansoffortlauderdale  -  Vegan Arepas, Yasss Please! 😍 reinavegana @ygfarmersmarket .
.
.
Excuse the messy b… https://t.co/F8Hgf3DyYl",US,-80.16886,26.02827
13,"['man', 'woman', 'smooth']","[-81.3465, 28.5962]",Sat Nov 10 22:23:59 +0000 2018,0,"A little louder for the folks in the back. Life, liberty and VEGAN BODY SCRUB for all! #man #woman #smooth @ Winter… https://t.co/Jl1aQgEmWe",US,-81.3465,28.5962
14,"['lowcarb', 'weightlossmotivation', 'weightlossjourney', 'weightloss', 'life', 'live', 'love', 'selflove', 'selfies']","[-70.9615, 42.534]",Sat Nov 10 22:27:28 +0000 2018,0,#lowcarb #weightlossmotivation #weightlossjourney #weightloss #life #live  #love #selflove  #selfies  $100 Weight l… https://t.co/AB2lnBbSO5,US,-70.9615,42.534
15,[],"[-80.16886, 26.02827]",Sat Nov 10 22:27:52 +0000 2018,0,"from @hiptipico  -  Pretty obsessed with everything @ohdeardreablog does, especially when she wears our vegan huara… https://t.co/nRDGYry2N7",US,-80.16886,26.02827
16,"['Bangor', 'job', 'DietAide', 'Hiring', 'CareerArc']","[-68.7778138, 44.8011821]",Sat Nov 10 22:36:21 +0000 2018,0,"See our latest #Bangor, ME #job and click to apply: Diet Aide - https://t.co/5PgUHVWa09 #DietAide #Hiring #CareerArc",US,-68.7778138,44.8011821
17,[],"[-75.1209929, 39.8808787]",Sat Nov 10 22:42:07 +0000 2018,0,Throwback of my and my nephew a few halloweens ago. @ Vegan Wolverine Experience https://t.co/lECfgTJklx,US,-75.1209929,39.8808787
18,"['hoodoobrown', 'bbq', 'keto', 'ketopower', 'protein', 'platterday']","[-73.475861, 41.320591]",Sat Nov 10 22:43:25 +0000 2018,0,"Platterday, its like Saturday went on the Keto Diet. #hoodoobrown #bbq #keto #ketopower #protein #platterday @ Hood… https://t.co/1uTmB0D9ec",US,-73.475861,41.320591
19,['vegan'],"[-73.9383, 40.8508]",Sat Nov 10 22:51:37 +0000 2018,0,"Homemade #vegan pumpkin bread! @ Hudson Heights, Manhattan https://t.co/kDMuJTTzNC",US,-73.9383,40.8508
20,['vegan'],"[-87.0445, 35.615]",Sat Nov 10 22:54:42 +0000 2018,0,"They say to do something that makes your heart happy every day. For me, that means cooking. Some #vegan pretzels ab… https://t.co/0DseWa9wZj",US,-87.0445,35.615
21,[],"[-75.21837822, 39.95319009]",Sat Nov 10 22:58:14 +0000 2018,0,🍽 Seaweed. Salmon. Cauliflower. Vegan Lasagna. 🍽 @ Atiya Ola's Spirit First Foods https://t.co/G92wIHHuOx,US,-75.21837822,39.95319009
22,[],"[-118.44803, 34.15465]",Sat Nov 10 23:07:16 +0000 2018,0,"Found my new favorite place in Sherman Oaks with Mi Madre today and totally in love with @lunagrill Vegan options,… https://t.co/FuNJmS2wXw",US,-118.44803,34.15465
23,"['vegan', 'art']","[-83.49063553, 42.31798215]",Sat Nov 10 23:16:37 +0000 2018,0,around our house even the #vegan banana pancakes are works of #art thanks to being_bethlehem &lt;3 @ Traditions of Cam… https://t.co/UgB3w9XuJj,US,-83.49063553,42.31798215
24,[],"[-73.90221171, 40.76129191]",Sat Nov 10 23:27:22 +0000 2018,0,Take the time to cultivate a diet that will create Harmony and Balance and nourish your body with all the nutrients… https://t.co/jqa3DECtDn,US,-73.90221171,40.76129191
