,tags,coordinates,time,fav_count,review,country_code,lon,lat
1117,[],"[-117.1585, 32.7155]",Sun Nov 25 20:15:19 +0000 2018,0.0,Congrats to the amazing @dasheye and @MeganRae_! Dasheye is a contributor to Inspirational Souls and he also create… https://t.co/tBybkrR2RJ,US,-117.1585,32.7155
1118,['diet'],"[-118.37710737, 34.07486969]",Sun Nov 25 20:16:07 +0000 2018,0.0,Sono a dieta ! #diet ! @ Beverly Center https://t.co/9nICpcIBX4,US,-118.37710737,34.07486969
1119,"['abc7eyewitness', 'vegan', '5k', 'race']","[-118.2824778, 34.13320481]",Sun Nov 25 20:17:41 +0000 2018,0.0,"So much fun at the 2018 latofurkytrot! My 4th year emceeing, my 5th year running.
#abc7eyewitness #vegan #5k #race… https://t.co/aauHOAjx18",US,-118.2824778,34.13320481
1120,[],"[-118.54180948, 34.4223771]",Sun Nov 25 20:23:01 +0000 2018,0.0,"Enjoying some Diet Dr Pepper at the Mickey Deez with my Final Straw. Environmentalism aside, it's just a really com… https://t.co/f7E6GaLjoz",US,-118.54180948,34.4223771
1121,[],"[-159.338, 22.0883]",Sun Nov 25 20:23:13 +0000 2018,0.0,"-
Vegan Keto Fat Bombs
-
I have had such a sweet tooth lately. It’s time for fat bombs to get back on track after t… https://t.co/Fy56Cs46co",US,-159.338,22.0883
1122,[],"[-104.9878899, 39.68866]",Sun Nov 25 20:26:45 +0000 2018,0.0,K E G S  N O T  E G G S  is on until 2pm! Vegan brunch + Beer cocktails 🧡🧡🧡 @ Alternation Brewing Company https://t.co/IIcJ6Exf3X,US,-104.9878899,39.68866
1123,[],"[-80.16886, 26.02827]",Sun Nov 25 20:38:44 +0000 2018,0.0,from bubblethetea  -  Premium jasmine green tea with a delicate touch of roses and real milk to start a beautiful d… https://t.co/fM1EI9Ofm2,US,-80.16886,26.02827
1124,"['Polenta', 'Grits', 'Southern', 'Vegan', 'SnowFlakeWarrior', 'TheProjectPost360']","[-115.3103035, 36.0869375]",Sun Nov 25 20:38:51 +0000 2018,0.0,"#Polenta
#Grits
I want to start cooking more #Southern #Vegan cuisine

#SnowFlakeWarrior #TheProjectPost360… https://t.co/u6rkIOc8QW",US,-115.3103035,36.0869375
1125,"['milk', 'cow', 'cows', 'cattle', 'vegan']","[-116.2038, 43.6141]",Sun Nov 25 20:50:57 +0000 2018,0.0,"Dairy facts
#milk
#cow
#cows
#cattle
#vegan @ Boise, Idaho https://t.co/C2iheQtdgu",US,-116.2038,43.6141
1126,"['nutrition', 'motivation', 'health', 'healthy', 'lifestyle', 'eatclean', 'healthyfood', 'exercise', 'food', 'cleaneating', 'goals']","[-87.65, 41.89972222]",Sun Nov 25 21:17:45 +0000 2018,0.0,#nutrition #motivation #health #healthy #lifestyle #eatclean #healthyfood #exercise #food #cleaneating #goals… https://t.co/PoG4oV9vOo,US,-87.65,41.89972222
1127,"['nutrition', 'motivation', 'health', 'healthy', 'lifestyle', 'eatclean', 'healthyfood', 'exercise', 'food', 'cleaneating', 'goals']","[-87.65, 41.89972222]",Sun Nov 25 21:19:01 +0000 2018,0.0,#nutrition #motivation #health #healthy #lifestyle #eatclean #healthyfood #exercise #food #cleaneating #goals… https://t.co/cotcLTBozg,US,-87.65,41.89972222
1128,"['nutrition', 'motivation', 'health', 'healthy', 'lifestyle', 'eatclean', 'healthyfood', 'exercise', 'food', 'cleaneating', 'goals']","[-87.65, 41.89972222]",Sun Nov 25 21:19:10 +0000 2018,0.0,#nutrition #motivation #health #healthy #lifestyle #eatclean #healthyfood #exercise #food #cleaneating #goals… https://t.co/1J9tc3Hrbi,US,-87.65,41.89972222
1129,"['Strength', 'Cardio', 'Health', 'Diet', 'Fitness', 'dmvfitness', 'fitnessmotivation', 'fitnessmodel']","[-76.85419, 38.85726]",Sun Nov 25 21:21:34 +0000 2018,0.0,One on One w/ Tamara. #Strength #Cardio #Health #Diet #Fitness #dmvfitness #fitnessmotivation #fitnessmodel… https://t.co/pnQ9vAhobC,US,-76.85419,38.85726
1130,[],"[-121.2953595, 37.9370593]",Sun Nov 25 21:24:10 +0000 2018,0.0,Turkish spiced fries! I wish these were on my diet! @ Lotus Mediterranean kitchen https://t.co/pAVhx9SJHz,US,-121.2953595,37.9370593
1131,"['workout', 'workinghard']","[-116.95628, 33.77096]",Sun Nov 25 21:27:29 +0000 2018,0.0,Working out in a Sunday. Even started out with a little 2.5 mile walk. #workout #workinghard #weightloss#losingthat… https://t.co/wB901xOHmh,US,-116.95628,33.77096
1132,[],"[-110.99569, 32.40739]",Sun Nov 25 21:29:25 +0000 2018,0.0,Our super blessed totally “vegan love” Thanksgiving together❣️ Our hearts full of so many blessings in one another.… https://t.co/NrJxczyJz6,US,-110.99569,32.40739
1133,[],"[-122.63415, 45.55919]",Sun Nov 25 21:31:00 +0000 2018,0.0,Treating myself to brunch today... a vegan country breakfast! Love discovering new plant-based eateries 😋 @ Vita Ca… https://t.co/00gyypbaz8,US,-122.63415,45.55919
1134,"['vegansofinstagram', 'vegan', 'veganfood', 'vegansofig', 'plantbased', 'veganism', 'veganlife']","[-87.678634, 41.7207951]",Sun Nov 25 21:33:38 +0000 2018,0.0,Making some stew for the week. #vegansofinstagram #vegan #veganfood #vegansofig #plantbased #veganism #veganlife… https://t.co/XMszM3tY3a,US,-87.678634,41.7207951
1135,"['weightlossjourney', 'weightloss', 'weightlosstransformation', 'scale']","[-115.1227, 36.0885]",Sun Nov 25 21:44:33 +0000 2018,0.0,"Sunday Weigh-In | Weight Loss Journey - Week 2
#weightlossjourney #weightloss #weightlosstransformation #scale… https://t.co/FvP4uEYDTX",US,-115.1227,36.0885
1136,[],"[-75.1636, 39.9855]",Sun Nov 25 21:45:10 +0000 2018,0.0,New routine......Got my teeth 1-2 shades whiter... same camera same lighting no filter on original pics...Real teet… https://t.co/5moTXGGDyQ,US,-75.1636,39.9855
