,tags,coordinates,time,fav_count,review,country_code,lon,lat
162,['vegan'],"[-117.82757798, 33.69771757]",Fri Nov 16 22:19:04 +0000 2018,0,Yum. Cafe au lait with oat milk. #vegan I don’t know what Jay got. Something decaf. @ Portola Coffe Lab - Union Mar… https://t.co/zb39UVw3Xt,US,-117.82757798,33.69771757
163,"['butternutsquash', 'bulgur', 'pilaf', 'vegan', 'healthyfood']","[-96.72223438, 43.54825468]",Fri Nov 16 22:23:58 +0000 2018,0,#butternutsquash #bulgur #pilaf #vegan #healthyfood @ Sanaa's 8th Street Gourmet https://t.co/1BpCGunARW,US,-96.72223438,43.54825468
164,"['eggplant', 'caponata', 'vegan', 'vegetarian', 'glutenfree', 'healthyfood']","[-96.72223438, 43.54825468]",Fri Nov 16 22:29:19 +0000 2018,0,#eggplant #caponata #vegan #vegetarian #glutenfree #healthyfood @ Sanaa's 8th Street Gourmet https://t.co/Ci9fgiPZ4W,US,-96.72223438,43.54825468
165,['kombucha'],"[-115.2916749, 36.160939]",Fri Nov 16 22:33:45 +0000 2018,0,Mmmm vegan joy and #kombucha at eatflowerchild - that poké bowl tho! 🥗🌱🥑🙌🏻💚 @ Flower Child https://t.co/zmd7k1u8Od,US,-115.2916749,36.160939
166,"['fermented', 'vegetables', 'babygreen', 'salad', 'vegan', 'healthyfood']","[-96.72223438, 43.54825468]",Fri Nov 16 22:43:35 +0000 2018,0,#fermented #vegetables and #babygreen #salad #vegan #healthyfood @ Sanaa's 8th Street Gourmet https://t.co/GmlGgEOcc1,US,-96.72223438,43.54825468
167,"['vegfestpuertorico', 'vegteam', 'vegfest', 'veganshare', 'veganoptions', 'coamo', 'puertorico', 'veganfood', 'veganadventures']","[-66.35805556, 18.08]",Fri Nov 16 22:47:21 +0000 2018,0,#vegfestpuertorico #vegteam #vegfest #veganshare #veganoptions in #coamo #puertorico🇵🇷  #veganfood #veganadventures… https://t.co/t5zLtnKiG1,US,-66.35805556,18.08
168,"['latergram', 'DonutFriday', 'SweetRetreat']","[-118.18111522, 33.78955907]",Fri Nov 16 22:53:29 +0000 2018,0,A #latergram of my sweet little fella. This is his reaction to #DonutFriday at #SweetRetreat.  On Fridays and Satur… https://t.co/cPMR5c3yDA,US,-118.18111522,33.78955907
169,[],"[-76.8882299, 40.26374]",Fri Nov 16 22:59:20 +0000 2018,0,"1st stop in my birthday weekend trip! The Vegetable Hunter in Harrisburg PA is amazing! Pesto grilled cheese,  chic… https://t.co/8NjxiViVAl",US,-76.8882299,40.26374
170,[],"[-80.19805376, 26.27218735]",Fri Nov 16 23:02:16 +0000 2018,0,"Check out our Sweet Display! Snack Smarter with our New JOJI BRITTLE! All Natural, Vegan, Gluten Free, Paleo Friend… https://t.co/tpMOWSR0Eg",US,-80.19805376,26.27218735
171,['Apps'],"[-75.69757755, 39.78652499]",Fri Nov 16 23:05:06 +0000 2018,0,Stoop aims to improve your news diet with an easy way to find and read newsletters https://t.co/5FJrDJ40qC #Apps… https://t.co/8jD8hKEIsA,US,-75.69757755,39.78652499
172,[],"[-122.27208452, 37.87177117]",Fri Nov 16 23:08:29 +0000 2018,0,"Vegan Thanksgiving day food picked up (@ The Butcher's Son in Berkeley, CA) https://t.co/7VjU63z13H",US,-122.27208452,37.87177117
173,[],"[-115.25875926, 36.19751221]",Fri Nov 16 23:22:12 +0000 2018,0,Finalllyyyy I got my paws on some @MiyokosKitchen cultured vegan butter. Get in my belly this instant. 🙌🏻💚🌱✨ @ Spro… https://t.co/zW0w1DyqYS,US,-115.25875926,36.19751221
174,"['fitness', 'fit', 'fitthick', 'gym', 'gymlife', 'beastmode', 'blackfitness', 'weightloss']","[-80.84333333, 35.22694444]",Fri Nov 16 23:27:56 +0000 2018,0,AGGIE EAGLE Tomorrow...How you acting? #fitness #fit #fitthick #gym #gymlife #beastmode #blackfitness #weightloss… https://t.co/TC1SE89jhc,US,-80.84333333,35.22694444
